timestamp,node_id,bs_idx,sf,bw,freq,rssi,snr,toa,energy_j,status,role
876171.07,82,0,7,500,867700000,-89.94,33.09,14.14,0.000355,RECEIVED,CM
877613.88,80,0,7,500,868100000,-123.23,-0.2,14.14,0.000355,LOST,CM
884658.49,47,0,7,500,867300000,-108.86,14.17,14.14,0.000355,RECEIVED,CM
889340.55,33,0,7,500,868100000,-131.64,-8.61,14.14,0.000355,LOST,CM
889593.94,66,0,7,500,867300000,-100.72,22.31,14.14,0.000355,RECEIVED,CM
890058.11,68,0,7,500,868500000,-97.8,25.23,14.14,0.000355,RECEIVED,CM
891049.25,70,0,7,500,868300000,-109.41,13.62,14.14,0.000355,RECEIVED,CM
891886.84,18,0,7,500,867900000,-111.26,11.77,14.14,0.000355,RECEIVED,CM
893372.35,49,0,7,500,867300000,-114.29,8.74,14.14,0.000355,RECEIVED,CM
899558.79,40,0,7,500,867900000,-99.57,23.46,14.14,0.000355,RECEIVED,CH
901866.87,76,0,7,500,868100000,-127.47,-4.44,14.14,0.000355,LOST,CM
909570.64,5,0,7,500,867900000,-117.92,5.11,14.14,0.000355,RECEIVED,CM
911670.05,90,0,7,500,867300000,-117.14,5.89,14.14,0.000355,RECEIVED,CM
916941.93,36,0,7,500,868300000,-103.8,19.23,14.14,0.000355,RECEIVED,CM
918105.75,34,0,7,500,867900000,-124.11,-1.08,14.14,0.000355,LOST,CM
918703.67,69,0,7,500,867900000,-114.04,8.99,14.14,0.000355,RECEIVED,CM
921877.59,78,0,7,500,867100000,-114.11,8.92,14.14,0.000355,RECEIVED,CM
927628.96,16,0,7,500,867300000,-111.87,11.16,14.14,0.000355,RECEIVED,CM
931842.5,73,0,7,500,868300000,-107.76,15.27,14.14,0.000355,RECEIVED,CM
932858.01,58,0,7,500,867700000,-113.05,9.98,14.14,0.000355,RECEIVED,CM
933486.1,37,0,7,500,867900000,-111.02,12.01,14.14,0.000355,RECEIVED,CM
934471.35,50,0,7,500,867900000,-109.07,13.96,14.14,0.000355,RECEIVED,CM
938262.97,67,0,7,500,867300000,-110.72,12.31,14.14,0.000355,RECEIVED,CM
942888.21,74,0,7,500,867700000,-131.97,-8.94,14.14,0.000355,LOST,CM
949726.06,32,0,7,500,867500000,-102.71,20.32,14.14,0.000355,RECEIVED,CM
950933.99,22,0,7,500,867300000,-107.89,15.14,14.14,0.000355,RECEIVED,CM
954855.88,71,0,7,500,867900000,-104.6,18.43,14.14,0.000355,RECEIVED,CM
955871.05,91,0,7,500,868100000,-105.4,17.63,14.14,0.000355,RECEIVED,CM
959519.03,36,0,7,500,868500000,-124.11,-1.08,14.14,0.000355,LOST,CM
960227.07,48,0,7,500,867100000,-113.91,9.12,14.14,0.000355,RECEIVED,CM
964483.74,94,0,7,500,867100000,-117.09,5.94,14.14,0.000355,RECEIVED,CM
964832.85,85,0,7,500,867900000,-82.62,40.41,14.14,0.000355,RECEIVED,CM
967545.6,4,0,7,500,867500000,-101.74,21.29,14.14,0.000355,RECEIVED,CM
971024.86,67,0,7,500,868100000,-114.79,8.24,14.14,0.000355,RECEIVED,CM
972634.49,58,0,7,500,867300000,-101.54,21.49,14.14,0.000355,RECEIVED,CM
979960.12,81,0,7,500,867300000,-105.79,17.24,14.14,0.000355,RECEIVED,CM
980516.41,39,0,7,500,867500000,-106.62,16.41,14.14,0.000355,RECEIVED,CM
984368.01,44,0,7,500,867300000,-115.81,7.23,14.14,0.000355,RECEIVED,CM
984798.44,92,0,7,500,867100000,-89.56,33.47,14.14,0.000355,RECEIVED,CM
984907.34,46,0,7,500,867700000,-109.1,13.93,14.14,0.000355,RECEIVED,CM
986613.85,40,0,7,500,868300000,-116.68,6.35,14.14,0.000355,RECEIVED,CH
986898.54,80,0,7,500,867700000,-90.46,32.57,14.14,0.000355,RECEIVED,CM
987706.58,55,0,7,500,867500000,-106.52,16.51,14.14,0.000355,RECEIVED,CM
989423.02,82,0,7,500,867500000,-104.61,18.42,14.14,0.000355,RECEIVED,CM
992487.13,90,0,7,500,867100000,-113.65,9.38,14.14,0.000355,RECEIVED,CM
995831.53,62,0,7,500,867100000,-104.1,18.93,14.14,0.000355,RECEIVED,CM
